MolecularWeight,XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,Volume3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,ConformerModelRMSD3D,EffectiveRotorCount3D,ConformerCount3D
307.4,5.5,307.10308534,307.10308534,44.6,386.0,0.0,0.0,2.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,247.7,7.72,3.68,1.72,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.8,4.0,10.0
395.4,0.0,395.03581088,395.03581088,212.0,739.0,0.0,4.0,10.0,5.0,26.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,277.9,12.64,3.5,1.41,14.0,5.0,2.0,2.0,1.0,3.0,1.0,0.8,6.6,10.0
331.34,-1.1,331.13321961,331.13321961,72.9,571.0,0.0,2.0,7.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,248.0,10.98,3.4,0.78,11.0,3.0,1.0,1.0,3.0,3.0,0.0,0.8,4.8,5.0
332.31,-3.2,332.13319899,332.13319899,201.0,518.0,0.0,7.0,8.0,6.0,23.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,234.9,7.72,4.75,0.98,16.0,7.0,6.0,1.0,1.0,1.0,0.0,0.8,7.8,10.0
270.3,0.5,270.02451792,270.02451792,135.0,349.0,0.0,2.0,7.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,189.8,5.76,3.24,1.28,9.0,4.0,2.0,0.0,1.0,2.0,0.0,0.6,3.0,10.0
378.4,1.1,378.08855747,378.08855747,149.0,645.0,0.0,3.0,7.0,5.0,26.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,278.3,11.46,3.51,1.21,13.0,6.0,1.0,3.0,0.0,2.0,1.0,0.8,6.8,10.0
349.31,1.5,349.11504457,349.11504457,76.7,448.0,0.0,1.0,8.0,5.0,25.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,250.8,7.94,3.61,1.52,10.0,2.0,1.0,0.0,3.0,3.0,1.0,0.8,5.0,10.0
86.14,-1.5,86.084398327,86.084398327,24.1,26.0,0.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68.8,1.64,1.54,0.64,5.0,0.0,2.0,0.0,2.0,1.0,0.0,0.4,1.2,1.0
337.35,0.7,337.14378429,337.14378429,71.1,472.0,0.0,1.0,6.0,4.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,252.6,19.58,1.72,0.98,8.0,3.0,1.0,0.0,1.0,3.0,0.0,0.8,7.0,10.0
319.9,4.6,319.1815255,319.1815255,28.2,309.0,0.0,1.0,3.0,8.0,22.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,255.7,10.27,3.1,1.88,6.0,1.0,1.0,0.0,2.0,2.0,0.0,0.8,8.0,10.0
